Surname,Religion,Caste,Comment / Explanation,First names,Religion,,Cities,Source
Biswas,Hindu,SC/Kayastha/Brahmin/Mahishyas,,Zubin,Parsi/ Muslim,,Puducherry,
Mehta,Hindu,Brahmin/Rajput/Bania,,Porus,Parsi,,Solan,
Zacharia,Christian,-,,Arzoo,Parsi/ Muslim,,Shimla,
Ray,Hindu,Kayastha,,Dinaz,Parsi/ Muslim,,Srīnagar,
Purohit,Hindu,Brahmin,,Meher,Parsi/ Muslim/ Hindu,,Jammu,
Thakur,Hindu,Kshatriya(Rajput),,Tanaz,Parsi/ Muslim,,Bhopāl,
Seth,Hindu,Bania,,Gurupreet,Sikh,,Ghāziābād,
Modi,Hindu,OBC,,Amanpreet,Sikh,,Lucknow,
Pathak,Hindu,Brahmin,,Gurunoor,Sikh,,Mangalore,
Tripathi,Hindu,Brahmin,,Harpreet,Sikh,,Goa,
Das,Hindu,Brahmin/Kayastha,,Noor,Sikh,,Nellore,
Choudhary,Hindu,SC( Jat),,Preet,Sikh,,Palampur,
Bharti,Hindu,SC,,Tavleen,Sikh,,Bellary,
Duggal,Hindu,SC,,Jasleen,Sikh,,Allahābād,
Khan,Muslim,Pathan,,,Sikh names are not specific to genders,,,
Ali,Muslim,Shia,,,,,,
Abbas,Muslim,Sunni,,,,,,
Alvares,Christian,-,,,,,,
D'Cruz,Christian,-,,,,,,
D'Souza,Christian,-,,,,,,
Fernandez,Christian,-,,,,,,
Gonsalves,Christian,-,,,,,,
Daaruwala,Parsi,-,,,,,,
Gheewala,Parsi,-,,,,,,
Batliwala,Parsi,-,,,,,,
Bharucha,Parsi,,,,,,,
Bulsara,Parsi,,,,,,,
Cawas,Parsi,,,,,,,
Contractor,Parsi,,,,,,,
Daruwala,Parsi,,,,,,,
Engineer,Parsi,,,,,,,
Madraswala,Parsi,,,,,,,
Sethna,Parsi,,,,,,,
Shroff,Parsi,,,,,,,
Wadia,Parsi,,,,,,,
Baltiwala,Parsi,,,,,,,
Akhrotwala,Parsi,,,,,,,
Daruwala,Parsi,,,,,,,
Batatawala,Parsi,,,,,,,
Gheewala,Parsi,,,,,,,
Screwwala,Parsi,,,,,,,
Kajuwala,Parsi,,,,,,,
Taraporevala,Parsi,,,,,,,
Buddha,Buddhist,,,,,,,
Priyadarshini,Buddhist,,,,,,,
Sanghavi,Buddhist,,,,,,,
Maurya,Buddhist,,,,,,,
Vishvash,Buddhist,,,,,,,
Shakya,Buddhist,,,,,,,
Tathagat,Buddhist,,,,,,,
Dharmapala,Buddhist,,,,,,,
Dharmawardane,Buddhist,,,,,,,
Dharmaratne,Buddhist,,,,,,,
Ariyaratne,Buddhist,,,,,,,
Buddhadasa,Buddhist,,,,,,,
Gill,Sikh,,,,,,,
Deol,Sikh,,,,,,,
Bal,Sikh,,,,,,,
Brar,Sikh,,,,,,,
Ghai,Sikh,,,,,,,
Gala,Sikh,,,,,,,
Bedi,Sikh,,,,,,,
Lal,Sikh,,,,,,,
Kapoor,Sikh,,,,,,,
Kapur,Sikh,,,,,,,
Khanna,Sikh,,,,,,,
Kohli,Sikh,,,,,,,
Walia,Sikh,,,,,,,
